project_id,name,budget,start_date,end_date,location,tower_type,substation_type,complexity_multiplier,location_budget_multiplier
02d,Power Transmission Project 02d - Madhya Pradesh,667563505.83,2025-11-03,2028-04-21,Madhya Pradesh,HVDC,AIS,1.4,0.8
02d,Power Transmission Project 02d - Assam,429060457.12,2025-11-13,2027-06-06,Assam,HVDC,AIS,1.4,0.6
02d,Power Transmission Project 02d - Rajasthan,873051875.76,2025-12-28,2027-08-20,Rajasthan,HVDC,GIS,1.6,0.9
02d,Power Transmission Project 02d - Jammu and Kashmir,785310538.26,2026-03-24,2028-09-09,Jammu and Kashmir,HVAC,AIS,1.0,0.6
02d,Power Transmission Project 02d - Haryana,2327293875.44,2025-12-16,2027-03-11,Haryana,HVDC,GIS,1.6,0.85
02d,Power Transmission Project 02d - Madhya Pradesh,1089953217.15,2026-02-25,2029-01-10,Madhya Pradesh,HVAC,GIS,1.2,0.8
02d,Power Transmission Project 02d - Gujarat,1854605630.9,2026-01-23,2027-04-18,Gujarat,HVDC,AIS,1.4,1.2
02d,Power Transmission Project 02d - Telangana,1917510087.37,2025-12-03,2027-12-23,Telangana,HVDC,AIS,1.4,1.05
02d,Power Transmission Project 02d - Tamil Nadu,997169025.88,2025-11-17,2028-01-06,Tamil Nadu,HVAC,GIS,1.2,0.95
02d,Power Transmission Project 02d - Mizoram,1241702566.44,2026-03-16,2027-03-11,Mizoram,HVDC,AIS,1.4,0.6
02d,Power Transmission Project 02d - Rajasthan,1398122569.53,2026-03-01,2027-08-23,Rajasthan,HVDC,AIS,1.4,0.9
02d,Power Transmission Project 02d - Tripura,448173409.26,2025-10-29,2027-10-19,Tripura,HVAC,AIS,1.0,0.6
02d,Power Transmission Project 02d - Uttar Pradesh,1157201453.56,2026-03-20,2028-12-04,Uttar Pradesh,HVAC,GIS,1.2,0.85
02d,Power Transmission Project 02d - Uttarakhand,588635100.68,2025-12-23,2027-01-17,Uttarakhand,HVAC,AIS,1.0,0.75
02d,Power Transmission Project 02d - Delhi,1312075316.97,2026-03-27,2028-06-14,Delhi,HVDC,GIS,1.6,1.4
02d,Power Transmission Project 02d - Kerala,2445872127.19,2025-11-18,2027-04-12,Kerala,HVDC,AIS,1.4,0.9
02d,Power Transmission Project 02d - Rajasthan,1393135791.99,2026-03-23,2027-10-14,Rajasthan,HVDC,AIS,1.4,0.9
02d,Power Transmission Project 02d - Delhi,2212521251.09,2026-03-27,2028-09-12,Delhi,HVDC,AIS,1.4,1.4
02d,Power Transmission Project 02d - Kerala,870899903.07,2026-01-17,2027-08-10,Kerala,HVAC,GIS,1.2,0.9
02d,Power Transmission Project 02d - Uttar Pradesh,1281405034.27,2026-01-13,2028-03-03,Uttar Pradesh,HVAC,AIS,1.0,0.85
